164647 particles, 452 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
325 52550 94167 0.440015 18.510361 33 1 18.510361 33 1.107742 0.575000
327 47937 79274 1.054434 3.242100 17 1 3.242100 17 1.104082 0.586000
328 70219 135328 0.760592 10.522370 38 1 10.522370 38 1.102325 0.591000
329 52393 93640 0.789497 3.254004 8 1 3.254004 8 1.100581 0.597000
330 27934 36404 0.612607 9.611633 27 1 9.611633 27 1.100576 0.597000
331 64455 116386 0.462173 7.394422 15 1 7.394422 15 1.099101 0.601000
332 64312 115540 0.373661 9.754453 18 1 9.754453 18 1.098734 0.602000
334 40928 55489 0.868213 4.505014 10 1 4.505014 10 1.094568 0.616000
335 48408 80255 0.620592 9.110318 30 1 9.110318 30 1.094422 0.616000
336 72277 142481 0.189616 36.567902 62 1 36.567902 62 1.092363 0.623000
338 41822 57866 0.873856 4.885751 22 1 4.885751 22 1.087499 0.638000
341 67748 125327 0.742682 6.060244 20 1 6.060244 20 1.083864 0.650000
343 68945 130050 0.757972 12.057360 40 1 12.057360 40 1.083287 0.652000
344 58404 106832 0.937859 2.131115 2 1 2.131115 2 1.079650 0.665000
345 42188 59517 0.394800 16.818741 20 1 16.818741 20 1.078130 0.670000
346 42117 59142 0.463098 25.389500 61 1 25.389500 61 1.077079 0.674000
347 36690 47097 0.256997 35.735531 80 1 35.735531 80 1.076822 0.674000
348 56601 103881 1.116494 2.675876 5 1 2.675876 5 1.071272 0.694000
349 44645 67255 0.935837 6.092973 31 1 6.092973 31 1.071190 0.694000
350 25435 32370 0.721684 5.956181 12 1 5.956181 12 1.069444 0.700000
351 47368 77142 0.469244 30.242849 68 1 30.242849 68 1.066902 0.710000
353 65452 120126 0.201999 80.789818 137 1 80.789818 137 1.065019 0.717000
354 860 1255 0.771626 10.022460 37 1 10.022460 37 1.064180 0.720000
356 49604 85099 0.783805 7.693082 26 1 7.693082 26 1.063550 0.722000
357 58542 106972 0.702668 2.597372 3 1 2.597372 3 1.062326 0.727000
358 50668 88834 0.652733 10.220790 28 1 10.220790 28 1.061649 0.729000
359 73258 148046 0.799953 17.378469 67 1 17.378469 67 1.061210 0.731000
361 67871 125676 0.857527 8.183029 22 1 8.183029 22 1.060277 0.734000
363 49246 83771 0.690576 9.552015 26 1 9.552015 26 1.057733 0.744000
365 65792 121515 0.308748 94.770332 193 1 94.770332 193 1.055166 0.754000
369 48616 80894 1.267826 2.961672 14 1 2.961672 14 1.052978 0.762000
370 50267 87889 0.478109 20.787140 37 1 20.787140 37 1.052387 0.765000
371 28184 36810 0.632751 15.083540 30 1 15.083540 30 1.051741 0.767000
373 75697 160637 0.276063 39.873020 48 1 39.873020 48 1.050979 0.770000
375 27402 35453 0.921170 2.878735 7 1 2.878735 7 1.049797 0.775000
376 42185 59510 0.322087 46.189880 70 1 46.189880 70 1.049732 0.775000
378 67948 126229 1.264782 3.785011 17 1 3.785011 17 1.047753 0.783000
379 56600 103879 1.010931 7.692270 36 1 7.692270 36 1.046370 0.789000
380 71961 140508 0.647385 5.665741 7 1 5.665741 7 1.045866 0.791000
381 69648 133079 2.434673 1.908704 18 1 1.908704 18 1.045771 0.791000
383 71924 140369 1.142011 3.444061 12 1 3.444061 12 1.044733 0.795000
384 47698 78449 0.680465 2.519736 4 1 2.519736 4 1.044387 0.797000
386 45475 70406 0.237702 73.245773 83 1 73.245773 83 1.044231 0.797000
387 69170 131197 0.650269 11.573910 22 1 11.573910 22 1.043897 0.799000
388 50758 89123 0.483639 3.948514 5 1 3.948514 5 1.043390 0.801000
389 74429 154677 0.741863 7.174125 22 1 7.174125 22 1.041616 0.808000
390 9309 12722 1.828701 2.048980 16 1 2.048980 16 1.040885 0.811000
392 64553 117052 0.414687 20.702181 36 1 20.702181 36 1.040019 0.815000
397 69880 133440 0.489327 25.056141 43 1 25.056141 43 1.036172 0.831000
399 73925 151133 0.374255 37.289551 93 1 37.289551 93 1.034468 0.838000
400 68697 129044 0.699701 8.013965 19 1 8.013965 19 1.034358 0.839000
401 67043 123998 0.326792 85.941673 168 1 85.941673 168 1.034052 0.840000
402 64613 117540 0.240048 68.429070 165 1 68.429070 165 1.034021 0.840000
403 73685 149859 0.397341 33.486290 58 1 33.486290 58 1.032154 0.848000
405 40072 53456 0.443425 19.541571 36 1 19.541571 36 1.029962 0.858000
406 68100 126463 0.293960 56.591042 77 1 56.591042 77 1.029624 0.859000
407 47659 78303 0.535727 7.538869 10 1 7.538869 10 1.029600 0.859000
408 51129 90471 0.654240 6.158748 12 1 6.158748 12 1.029591 0.859000
411 45256 69569 1.601796 5.588066 30 1 5.588066 30 1.024419 0.882000
416 46829 75383 0.410249 37.035019 75 1 37.035019 75 1.021341 0.896000
417 23153 29771 0.989914 3.610706 13 1 3.610706 13 1.020566 0.900000
418 39818 52956 0.555610 4.779116 10 1 4.779116 10 1.019583 0.905000
419 28154 36725 1.833921 2.005781 11 1 2.005781 11 1.018867 0.908000
420 72205 142199 0.585024 11.025870 26 1 11.025870 26 1.017500 0.914000
423 48680 81071 0.627469 8.460933 19 1 8.460933 19 1.015179 0.925000
428 72175 142002 1.007945 4.731680 14 1 4.731680 14 1.013783 0.932000
431 51064 90250 0.767557 4.877122 13 1 4.877122 13 1.013127 0.935000
432 77535 164389 0.292436 22.267851 61 1 22.267851 61 1.011672 0.942000
434 56704 104364 1.657456 1.832327 16 1 1.832327 16 1.011035 0.945000
435 64549 116981 0.804890 2.746410 10 1 2.746410 10 1.010463 0.948000
438 67644 125046 0.394850 25.827850 38 1 25.827850 38 1.009003 0.955000
440 26227 33786 0.932725 10.086580 58 1 10.086580 58 1.008132 0.959000
442 27735 36103 1.095369 2.000014 5 1 2.000014 5 1.007416 0.963000
444 69901 133694 0.736035 10.815750 24 1 10.815750 24 1.006116 0.969000
447 57268 105501 0.501035 7.744022 21 1 7.744022 21 1.003251 0.983000
448 73077 146328 0.418873 25.937290 38 1 25.937290 38 1.003219 0.984000
449 71413 137680 0.779266 2.065056 3 1 2.065056 3 1.001748 0.991000
450 71301 137129 0.742472 6.195758 18 1 6.195758 18 1.000861 0.996000
451 72344 142967 0.647946 11.127550 29 1 11.127550 29 1.000701 0.996000
