164647 particles, 77640 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
118 38961 51233 4.822242e+00 2.864443e-01 3 1 2.864443e-01 3 20737242933628781373289398272.000000 0.00e+00
119 39722 52784 4.887201e+00 3.806866e-01 6 1 3.806866e-01 6 20461607846756645921456390144.000000 0.00e+00
120 1905 2704 4.898481e+00 4.651681e-01 3 1 4.651681e-01 3 20414490435173814036336738304.000000 0.00e+00
121 64333 115622 4.925845e+00 4.306420e-01 3 1 4.306420e-01 3 20301087526454182376175042560.000000 0.00e+00
123 71240 137040 4.957811e+00 3.915844e-01 3 1 3.915844e-01 3 20170190611098760115319209984.000000 0.00e+00
125 1590 2288 5.068258e+00 8.029785e-01 9 1 8.029785e-01 9 19730645725381081430352723968.000000 0.00e+00
126 1913 2713 5.125939e+00 1.004418e+00 14 1 1.004418e+00 14 19508620123414102908396896256.000000 0.00e+00
128 47594 78025 5.337572e+00 1.074628e+00 13 1 1.074628e+00 13 18735111841211124348740435968.000000 0.00e+00
129 40934 55496 5.357529e+00 3.030419e-01 4 1 3.030419e-01 4 18665321167552414579538526208.000000 0.00e+00
132 51557 91931 5.433574e+00 5.256654e-01 5 1 5.256654e-01 5 18404094020819514415252504576.000000 0.00e+00
135 49045 83025 5.528497e+00 2.603153e-01 3 1 2.603153e-01 3 18088098048209912823189340160.000000 0.00e+00
136 9655 13211 5.529038e+00 2.765667e-01 3 1 2.765667e-01 3 18086329521962078141056811008.000000 0.00e+00
137 5037 6365 5.652886e+00 2.131190e-01 2 1 2.131190e-01 2 17690079292159348363409489920.000000 0.00e+00
140 22676 28884 5.796624e+00 3.418868e-01 3 1 3.418868e-01 3 17251421030748828454331875328.000000 0.00e+00
143 72440 143858 6.120666e+00 1.934355e-01 2 1 1.934355e-01 2 16338092921721045439188303872.000000 0.00e+00
145 8404 11175 6.362853e+00 3.098374e-01 4 1 3.098374e-01 4 15716221007874631904754925568.000000 0.00e+00
147 20877 26161 6.444063e+00 2.829697e-01 3 1 2.829697e-01 3 15518161415808216832258605056.000000 0.00e+00
148 75006 157692 6.447078e+00 2.111910e-01 2 1 2.111910e-01 2 15510903138524046187565154304.000000 0.00e+00
149 48626 80924 6.457599e+00 3.408034e-01 5 1 3.408034e-01 5 15485632574882589998615363584.000000 0.00e+00
150 42913 62524 6.548073e+00 5.532942e-01 6 1 5.532942e-01 6 15271668052501869961039314944.000000 0.00e+00
152 4811 6076 6.569969e+00 2.956814e-01 2 1 2.956814e-01 2 15220771567141121642337402880.000000 0.00e+00
153 33998 43636 6.592195e+00 2.903288e-01 3 1 2.903288e-01 3 15169454791163397925211471872.000000 0.00e+00
154 28016 36523 6.618460e+00 2.426131e-01 2 1 2.426131e-01 2 15109255243831396405438578688.000000 0.00e+00
155 7322 9334 6.727861e+00 5.091772e-01 5 1 5.091772e-01 5 14863564682827137373905616896.000000 0.00e+00
156 6849 8757 6.747545e+00 2.699408e-01 3 1 2.699408e-01 3 14820205094373049008964763648.000000 0.00e+00
157 20392 25456 6.800391e+00 1.526313e-01 2 1 1.526313e-01 2 14705036020588824101493145600.000000 0.00e+00
158 99 112 6.840886e+00 3.371130e-01 4 1 3.371130e-01 4 14617991000393329366091694080.000000 0.00e+00
