164647 particles, 452 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
354 860 1255 0.771626 10.022460 37 1 10.022460 37 1.064180 0.720000
356 49604 85099 0.783805 7.693082 26 1 7.693082 26 1.063550 0.722000
357 58542 106972 0.702668 2.597372 3 1 2.597372 3 1.062326 0.727000
358 50668 88834 0.652733 10.220790 28 1 10.220790 28 1.061649 0.729000
359 73258 148046 0.799953 17.378469 67 1 17.378469 67 1.061210 0.731000
360 21610 27290 0.704156 6.748399 17 1 6.748399 17 1.060985 0.732000
361 67871 125676 0.857527 8.183029 22 1 8.183029 22 1.060277 0.734000
363 49246 83771 0.690576 9.552015 26 1 9.552015 26 1.057733 0.744000
365 65792 121515 0.308748 94.770332 193 1 94.770332 193 1.055166 0.754000
366 55519 100970 0.782542 18.950420 66 1 18.950420 66 1.054713 0.756000
368 25772 33016 0.314104 39.187012 108 1 39.187012 108 1.053331 0.761000
369 48616 80894 1.267826 2.961672 14 1 2.961672 14 1.052978 0.762000
370 50267 87889 0.478109 20.787140 37 1 20.787140 37 1.052387 0.765000
371 28184 36810 0.632751 15.083540 30 1 15.083540 30 1.051741 0.767000
373 75697 160637 0.276063 39.873020 48 1 39.873020 48 1.050979 0.770000
375 27402 35453 0.921170 2.878735 7 1 2.878735 7 1.049797 0.775000
376 42185 59510 0.322087 46.189880 70 1 46.189880 70 1.049732 0.775000
377 8693 11616 1.381556 5.072047 29 1 5.072047 29 1.048848 0.779000
378 67948 126229 1.264782 3.785011 17 1 3.785011 17 1.047753 0.783000
379 56600 103879 1.010931 7.692270 36 1 7.692270 36 1.046370 0.789000
380 71961 140508 0.647385 5.665741 7 1 5.665741 7 1.045866 0.791000
381 69648 133079 2.434673 1.908704 18 1 1.908704 18 1.045771 0.791000
382 53446 96769 0.232411 67.306229 163 1 67.306229 163 1.045233 0.793000
383 71924 140369 1.142011 3.444061 12 1 3.444061 12 1.044733 0.795000
384 47698 78449 0.680465 2.519736 4 1 2.519736 4 1.044387 0.797000
385 51478 91812 0.130798 322.718811 407 1 322.718811 407 1.044289 0.797000
386 45475 70406 0.237702 73.245773 83 1 73.245773 83 1.044231 0.797000
387 69170 131197 0.650269 11.573910 22 1 11.573910 22 1.043897 0.799000
388 50758 89123 0.483639 3.948514 5 1 3.948514 5 1.043390 0.801000
389 74429 154677 0.741863 7.174125 22 1 7.174125 22 1.041616 0.808000
390 9309 12722 1.828701 2.048980 16 1 2.048980 16 1.040885 0.811000
391 41452 56647 0.803930 10.863440 32 1 10.863440 32 1.040659 0.812000
392 64553 117052 0.414687 20.702181 36 1 20.702181 36 1.040019 0.815000
394 68295 127652 1.182559 8.435950 37 1 8.435950 37 1.037775 0.824000
395 43421 64112 0.185921 141.917892 192 1 141.917892 192 1.036911 0.828000
397 69880 133440 0.489327 25.056141 43 1 25.056141 43 1.036172 0.831000
398 59836 108385 0.638609 19.411020 67 1 19.411020 67 1.035599 0.833000
399 73925 151133 0.374255 37.289551 93 1 37.289551 93 1.034468 0.838000
